Agent Name,Agent Address,Agent City,FY 18 Net Sales
MARTIN'S RESTAURANT,205 NORTH AVENUE,ABINGTON,"$9,289.50"
TERRA NOSSA CENTER MARKET,1501 BEDFORD ST,ABINGTON,"$50,038.75"
ABINGTON SUNOCO,907 BEDFORD ST,ABINGTON,"$70,060.75"
GREAT CHOW 18,497 BEDFORD STREET,ABINGTON,"$92,746.00"
KNIGHTS OF COLUMBUS,254 HANCOCK ST,ABINGTON,"$99,779.25"
SMOKE & ASHES TOBACCO CO,308 BROCKTON AVE,ABINGTON,"$111,563.50"
TIKI GARDEN INC,201 N QUINCY ST,ABINGTON,"$115,116.00"
MARYLOU'S NEWS,562 WASHINGTON ST,ABINGTON,"$141,362.25"
MARYLOU'S NEWS,1501 BEDFORD ST,ABINGTON,"$162,756.75"
7-ELEVEN 37406,945 BEDFORD ST,ABINGTON,"$180,081.50"
SQUIRE'S LOFT,460 BEDFORD ST,ABINGTON,"$279,654.75"
ABINGTON DEPOT,101 RAILROAD ST,ABINGTON,"$292,550.00"
POLISH CLUB,55 WALES ST,ABINGTON,"$299,664.50"
ROSIE'S LIQUOR & DELI,751 BEDFORD ST,ABINGTON,"$300,909.25"
STIX & STONES,800 BROCKTON AVENUE,ABINGTON,"$364,029.50"
ABINGTON LIQUORS,585 WASHINGTON STREET,ABINGTON,"$364,054.50"
OMOTO GARDEN,1501 BEDFORD ST,ABINGTON,"$371,131.50"
LYNCH'S TAVERN,236 NORTH AVE,ABINGTON,"$372,371.00"
MIA REGAZZA,268 WASHINGTON ST,ABINGTON,"$419,358.25"
ALLTOWN #2727,906 BEDFORD ST,ABINGTON,"$425,600.00"
BILLY'S LIQUORS,760 BROCKTON AVE,ABINGTON,"$478,229.25"
BEMIS DRUG CO INC,6 BRIGHTON ST,ABINGTON,"$519,804.00"
CELLAR TAVERN,221 NORTH ST,ABINGTON,"$547,191.00"
JP RYAN'S TAVERN,246 BROCKTON AVE,ABINGTON,"$652,155.00"
STOP N GAS,164 NORTH AVE,ABINGTON,"$771,476.25"
ABINGTON ALE HOUSE,1235 BEDFORD ST,ABINGTON,"$813,576.25"
TRUCCHI'S MARKET #4,858 BEDFORD ST,ABINGTON,"$974,340.75"
STOP & SHOP #054,375 CENTRE ST,ABINGTON,"$1,101,874.50"
CENTRE AVENUE SUNOCO,336 CENTRE AVENUE,ABINGTON,"$1,233,274.50"
7-ELEVEN 37406,945 BEDFORD ST,ABINGTON,"$1,343,457.75"
ABINGTON COUNTRY STORE,852 HANCOCK STREET,ABINGTON,"$1,362,278.75"
J D  VARIETY,201 N QUINCY ST,ABINGTON,"$1,418,253.50"
BRENNAN'S NEWS,224 CENTRE AVE,ABINGTON,"$1,459,123.00"
D'ANN'S SPORTS & ENTERTAINMENT,340 CENTRE AVENUE,ABINGTON,"$1,507,816.25"
QUICK STOP,115 BROCKTON AVE,ABINGTON,"$1,611,719.25"
7-ELEVEN 32437 E,2 BROCKTON AVE,ABINGTON,"$1,783,982.25"
7-ELEVEN 37490,145 N QUINCY ST,ABINGTON,"$1,792,127.50"
SMARTSTOP CONVENIENCE,270 NORTH AVE,ABINGTON,"$2,211,784.75"
YOURS CONVENIENCE STORE,800 BROCKTON AVE,ABINGTON,"$2,273,858.75"
ROUTE 18 SUPERSTORE,336 WASHINGTON STREET,ABINGTON,"$2,798,037.00"
RITE AID 10097,100 POWDER MILL RD,ACTON,"$4,571.75"
KMART 7104,252 MAIN ST,ACTON,"$23,053.00"
RITE AID 10097,100 POWDER MILL RD,ACTON,"$32,588.50"
COLONIAL SPIRITS,87 GREAT ROAD,ACTON,"$47,435.00"
LIQUOR OUTLET INC,305 MAIN STREET,ACTON,"$54,562.75"
RED WHITE AND BREW WINE,578 MASS AVE,ACTON,"$100,769.00"
ACTON WINE & SPIRIT,305 MAIN ST,ACTON,"$121,528.00"
TAILGATERS GRILLE,166 GREAT ROAD,ACTON,"$140,670.00"
ROCHE BROS #112,387 MASS AVE,ACTON,"$228,024.00"
DONELANS OF ACTON,248 GREAT ROAD,ACTON,"$238,013.50"
PRO TECH GAS,332 GREAT ROAD,ACTON,"$268,684.25"
ACTON LIQUORS,100 POWDER MILL ROAD,ACTON,"$332,307.50"
STOP & SHOP #460,100 POWDER MILL RD,ACTON,"$516,800.75"
EAST ACTON MOBIL,44 GREAT RD,ACTON,"$624,849.25"
MAKAHA RESTAURANT,255 GREAT RD,ACTON,"$653,487.75"
MAIN STREET EXPRESS,289 MAIN ST,ACTON,"$695,219.75"
ACTON CONVENIENCE,467 GREAT ROAD,ACTON,"$708,534.25"
PRO TECH,421 MASS AVE,ACTON,"$830,110.25"
WEST ACTON MOBIL,553 MASSACHUSETTS AVE,ACTON,"$901,221.25"
TOWN LINE CONVENIENCE,37 MAIN ST,ACTON,"$1,035,611.25"
7-ELEVEN 37454,75 GREAT RD,ACTON,"$1,712,759.75"
BLUE LANTERN CAFE,605 MAIN ST,ACUSHNET,"$109,565.00"
PONDEROSA,242 ROBINSON RD,ACUSHNET,"$205,869.00"
THOMAS E TUTTLE POST 7239 VFW,28 ROOSEVELT ST,ACUSHNET,"$212,438.25"
RIVERS END CAFE,7 TARKILN HILL ROAD,ACUSHNET,"$225,959.50"
TOWN LIQUORS,1 MIDDLE RD,ACUSHNET,"$251,876.00"
PARTING WAYS SERVICE,121 MAIN ST,ACUSHNET,"$309,046.25"
CHUCK'S LIQUORS II,172-174 S MAIN ST,ACUSHNET,"$324,792.00"
JT'S PUB,77 SLOCUM ST,ACUSHNET,"$372,942.00"
BONVILLE'S MARKET,142 SOUTH MAIN STREET,ACUSHNET,"$435,125.00"
SCUTTLEBUTTS,590 MAIN ST,ACUSHNET,"$452,208.75"
JASON'S VARIETY,270 N MAIN ST,ACUSHNET,"$787,382.75"
CUMBERLAND #2233,176 SOUTH MAIN ST,ACUSHNET,"$972,185.75"
ADAMS RACING MART,73 COLUMBIA ST,ADAMS,"$28,386.00"
FOREST PARK COUNTRY CLUB,41 FOREST PARK AVE,ADAMS,"$34,837.00"
RITE AID 10068,21 COLUMBIA ST,ADAMS,"$67,194.50"
CHAPUT NEWS & VARIETY,97 SUMMER ST,ADAMS,"$70,684.25"
POLISH NATIONAL ALLIANCE,13 VICTORY ST,ADAMS,"$71,661.00"
ADAMS TURNERS,6 TURNERS AVE,ADAMS,"$73,084.00"
RITE AID 10068,21 COLUMBIA STREET,ADAMS,"$158,396.75"
THE VIKING PUB,83 COMMERCIAL ST,ADAMS,"$196,719.00"
RED CARPET RESTAURANT,69 PARK ST,ADAMS,"$232,763.50"
THE MOUNTAIN CLUB,6 ANTHONY STREET,ADAMS,"$296,997.00"
CHICKS LUNCH,128 COLUMBIA ST,ADAMS,"$309,851.00"
O'GEARY'S PACKAGE,60 COMMERCIAL ST,ADAMS,"$414,785.75"
AJ'S TRAILSIDE PUB,12 PLEASANT STREET,ADAMS,"$497,455.00"
BIG Y #25,MYRTLE ST,ADAMS,"$544,282.00"
RACING MART,73 COLUMBIA STREET,ADAMS,"$570,605.25"
OASIS LIQUOR STORE,35 SPRING ST,ADAMS,"$634,810.50"
VAL'S PIPE & PACKAGE,5 COLUMBIA ST,ADAMS,"$1,325,457.25"
7-ELEVEN 32495-B,223 COLUMBIA ST,ADAMS,"$1,524,571.25"
CUMBERLAND #6690,46 COMMERCIAL ST,ADAMS,"$1,530,029.25"
RITE AID 10050,17 SPRINGFIELD ST,AGAWAM,"$18,137.00"
MICHAEL'S PASTA,395 RIVER ROAD,AGAWAM,"$34,147.00"
RITE AID 10050,17 SPRINGFIELD ST,AGAWAM,"$43,669.25"
EZ MART,1672 MAIN ST,AGAWAM,"$91,143.00"
MC CARTHYS LIQUORS,430 MAIN ST,AGAWAM,"$108,513.50"
RIVERSIDE LIQUORS,1811 MAIN STREET,AGAWAM,"$113,784.50"
TOWNE LIQUORS,384 WALNUT ST,AGAWAM,"$243,324.75"
CHEERS DISCOUNT,416 SPRINGFIELD ST,AGAWAM,"$292,896.75"
SOUTHGATE LIQUORS,842 SUFFIELD ST,AGAWAM,"$324,372.50"
KAPTAIN JIMMYS,916 SUFFIELD STREET,AGAWAM,"$326,072.75"
MURPHY'S PUB,664 SUFFIELD STREET,AGAWAM,"$339,098.00"
FERRENTINO PIZZARIA & PUB,1676 MAIN STREET,AGAWAM,"$358,576.50"
THE STILL,63 SPRINGFIELD ST,AGAWAM,"$444,520.25"
GAYATRI FOOD MART,18 SPRINGFIELD STREET,AGAWAM,"$487,163.50"
SCOREBOARD BAR & RESTAURANT,15 KING ST,AGAWAM,"$572,347.50"
GEISSLER'S SUPERMARKET,830 SUFFIELD ST,AGAWAM,"$600,386.00"
ONE STOP MART,308 SUFFIELD STREET,AGAWAM,"$791,676.00"
CUMBERLAND #0201,837 SUFFIELD ST,AGAWAM,"$804,554.00"
BUCCANEERS LOUNGE,84-86 MAPLE ST,AGAWAM,"$836,776.50"
SOUTHBRIDGE CONV,1 SOUTH BRIDGE RD,AGAWAM,"$867,293.50"
RIVERBOAT BAR & GRILL,11-13 SOUTH END CIR,AGAWAM,"$893,476.00"
GAYATRI FOOD MART,18 SPRINGFIELD ST,AGAWAM,"$1,000,023.50"
QUICK PIC,1 RIVER RD,AGAWAM,"$1,064,092.50"
PRIDE STATION & STORE,824 SUFFIELD ST,AGAWAM,"$1,202,478.25"
GOODIES CONVENIENCE,300 SPRINGFIELD ST,AGAWAM,"$1,225,024.25"
UTOPIA,713 MAIN ST,AGAWAM,"$1,349,273.50"
NOURIA #4047,634 MAIN ST,AGAWAM,"$1,393,578.50"
CITGO FOOD MART,650 SUFFIELD STREET,AGAWAM,"$1,598,981.50"
THE DAIRY STORE,335 SUFFIELD ST,AGAWAM,"$2,732,036.75"
,,,
COMM AVE WINE & SPIRITS,1229 COMMONWEALTH AVE,ALLSTON,$62.00
O'BRIEN'S PUB,3 HARVARD AVE,ALLSTON,$895.00
STARZZONE COMMUNICATIONS,1 BRIGHTON AVE          102,ALLSTON,"$35,754.75"
GREAT SCOTT,1222 COMMONWEALTH AV,ALLSTON,"$35,852.00"
START WIRELESS,483 CAMBRIDGE ST,ALLSTON,"$42,112.00"
STARZZONE COMMUNICATIONS,1 BRIGHTON AVENUE #102,ALLSTON,"$80,892.50"
7-ELEVEN 37526,1227 COMMONWEALTH AVE AVE,ALLSTON,"$93,674.00"
SILHOUETTE LOUNGE,200 BRIGHTON AVE,ALLSTON,"$132,125.00"
ALLSTON CAR WASH,434 CAMBRIDGE ST,ALLSTON,"$240,717.25"
BUS STOP PUB,252 WESTERN AVE,ALLSTON,"$242,805.00"
7-ELEVEN 37367,509 CAMBRIDGE ST,ALLSTON,"$252,170.00"
REGINA PIZZERIA,353 CAMBRIDGE STREET,ALLSTON,"$290,233.25"
QUALITY LIQUORS,489 CAMBRIDGE ST,ALLSTON,"$318,825.50"
BOSTON LIQUORS,223-233 CAMBRIDGE STREET,ALLSTON,"$336,825.00"
SPEEDWAY #2448,100 BRIGHTON AVE,ALLSTON,"$337,972.00"
MAYFAIR FOODS INC,506 CAMBRIDGE ST,ALLSTON,"$355,926.50"
LEES 2 MARKET,1383 COMMONWEALTH AVE,ALLSTON,"$359,679.25"
ALLSTON CONVENIENCE,165 ALLSTON ST,ALLSTON,"$387,229.50"
7-ELEVEN 37526,1227 COMMONWEALTH AVE,ALLSTON,"$444,254.00"
7-ELEVEN 37367,509 CAMBRIDGE ST,ALLSTON,"$510,287.75"
SUNRISE MARKET,152 - 154 BRIGHTON AVE,ALLSTON,"$637,461.50"
STAR MKT 3588,1065 COMM AVE,ALLSTON,"$692,119.00"
NEIGHBORHOOD MARKET,57 FRANKLIN ST,ALLSTON,"$720,156.00"
7-ELEVEN 20390-C,204 N HARVARD ST,ALLSTON,"$722,842.25"
SPEEDWAY #2493,219 CAMBRIDGE ST,ALLSTON,"$762,512.50"
ALLSTON MARKET,169 HARVARD AVE,ALLSTON,"$947,332.00"
ALLSTON GULF,198 WESTERN AVENUE,ALLSTON,"$1,064,146.50"
7-ELEVEN 37433,157 BRIGHTON AVE,ALLSTON,"$1,153,824.75"
VAN'S MINI MART,109 FRANKLIN ST,ALLSTON,"$1,289,271.50"
STOP & SHOP #089,60 EVERETT ST,ALLSTON,"$1,308,291.00"
WANG'S LIQUORS,49 FRIEND ST,AMESBURY,$277.50
AMESBURY LIQUOR SHOPPE,49  FRIEND STREET,AMESBURY,"$6,780.75"
THE CROSSBAR PUB,12-14 SOUTH HUNT ROAD,AMESBURY,"$11,484.00"
LEARYS FINE WINES,100 MACY STREET,AMESBURY,"$20,087.00"
CARRIAGE WHEEL PUB,10 FRIEND ST,AMESBURY,"$22,468.00"
RITE AID 10131,15 HAVERHILL RD,AMESBURY,"$39,775.75"
RITE AID 10131,15 HAVERHILL ROAD,AMESBURY,"$92,654.50"
ROUTE 110 LIQUORS,25 1/2 MACY ST,AMESBURY,"$99,934.25"
YANG MING II RESTAURANT,88 HAVERHILL ROAD,AMESBURY,"$108,096.00"
AMESBURY ONE STOP II,23  ROCKY HILL RD,AMESBURY,"$139,266.25"
A L PRIME ENERGY,63 ELM ST,AMESBURY,"$237,357.50"
AMESBURY ONE STOP,108 MACY ST,AMESBURY,"$296,651.25"
THE BARN,3-5 RING ST,AMESBURY,"$426,282.50"
FELCO MINI MART,60 HAVERHILL RD,AMESBURY,"$454,685.50"
STOP & SHOP #499,100 MACY STREET,AMESBURY,"$920,022.50"
CUMBERLAND #6661,132 ELM ST,AMESBURY,"$984,341.50"
CIRCLE K #7501,24 ROCKY HILL RD,AMESBURY,"$986,006.25"
VERMETTE'S INC,6 POND ST,AMESBURY,"$996,504.75"
CUMBERLAND #6669,241 MAIN ST,AMESBURY,"$1,279,538.00"
RICHDALE,65 FRIEND STREET,AMESBURY,"$1,498,202.25"
OLDE TOWNE TAVERN,1 PRAY ST,AMHERST,$210.00
THE ENGLISH PUB,15 E PLEASANT STREET,AMHERST,"$38,842.00"
STACKERS PUB,57 N PLEASANT ST,AMHERST,"$46,169.00"
THE SPOKE,35 EAST PLEASANT STREET,AMHERST,"$51,111.00"
BIG GUY LIQUORS,25 MONTAGUE ST,AMHERST,"$52,739.25"
SPIRIT HAUS INC,338 COLLEGE ST,AMHERST,"$105,024.00"
UNIVERSITY LIQUORS,6 UNIVERSITY DRIVE SUITE 10,AMHERST,"$186,293.25"
R & P PACKAGE STORE,505 WEST ST,AMHERST,"$232,342.00"
COUSINS FOOD MARKET,11 EAST PLEASANT STREET,AMHERST,"$277,433.50"
NOURIA #4048,399 NORTHAMPTON ST,AMHERST,"$556,638.50"
CUMBERLAND #6704,35 BELCHERTOWN RD,AMHERST,"$640,540.75"
BIG Y #46,175 UNIVERSITY DRIVE,AMHERST,"$674,774.75"
AMHERST CENTER STORE,259 TRIANGLE STREET,AMHERST,"$678,483.50"
RAFTERS RESTAURANT,422 AMITY ST,AMHERST,"$686,393.00"
SPEEDWAY #2419,468 WEST ST,AMHERST,"$718,498.75"
NEIGHBOR FOOD DAIRY MART,324  COLLEGE ST,AMHERST,"$741,858.75"
CUMBERLAND #6617,19 MONTAGUE ST,AMHERST,"$796,017.50"
REDSTONE  LIQUORS,89 MAIN STREET,ANDOVER,"$43,427.50"
SHAWSHEEN VILLAGE LIQUORS,2 POOR ST,ANDOVER,"$52,377.25"
ANDOVER LIQUORS,209 N.MAIN ST,ANDOVER,"$179,866.50"
STOP & SHOP #471,199 NORTH MAIN ST,ANDOVER,"$539,098.75"
SUNDAY GENERAL STORE,195 ANDOVER ST,ANDOVER,"$798,382.50"
WEST ANDOVER MOBIL,139 RIVER RD,ANDOVER,"$879,411.75"
ANDOVER SPA,9 ELM STREET,ANDOVER,"$1,051,878.25"
MARCS SNACK BAR,310 LOWELL ST IRS BLDG,ANDOVER,"$1,100,272.25"
ANDOVER MOBIL,309 LOWELL ST,ANDOVER,"$1,114,866.75"
RICHDALE,10 RAILROAD ST,ANDOVER,"$2,482,892.00"
THE CHATEAU RESTAURANT,131 RIVER RD & RT 93,ANDOVER,"$3,119,304.75"
ARLINGTON PACKAGE EXPRESS,350 MASS AVE,ARLINGTON,"$18,078.50"
MYSTIC WINE SHOPPE,901 MASS AVE,ARLINGTON,"$23,749.75"
ARLINGTON LIQUORS,94 SUMMER ST,ARLINGTON,"$27,499.75"
MYSTIC STREET GULF,140 MYSTIC ST,ARLINGTON,"$39,244.00"
D'AGOSTINOS DELI,1297 MASS AVE,ARLINGTON,"$43,147.25"
ARLINGTON SHELL,934-950 MASS AVE,ARLINGTON,"$45,613.50"
ALEXANDER LIQUORS,94 SUMMER ST,ARLINGTON,"$60,768.75"
FENWAY MARKET,203 BROADWAY,ARLINGTON,"$69,169.00"
ARLINGTON CONVENIENCE,245 MASS AVE,ARLINGTON,"$275,127.50"
COLUMBUS CLUB,15 WINSLOW ST,ARLINGTON,"$422,320.00"
STOP & SHOP #776,905 MASS AVE,ARLINGTON,"$603,228.00"
A AND A MARKET,1042 MASS AVE,ARLINGTON,"$644,147.00"
7 STAR GROCERY,6 MEDFORD ST,ARLINGTON,"$717,414.75"
DAGGS DELI,148 MASS AVE,ARLINGTON,"$857,286.50"
FENWAY MARKET,203 BROADWAY,ARLINGTON,"$917,400.25"
BROADWAY MARKET,94-96 BROADWAY ST,ARLINGTON,"$1,175,818.25"
BOYLES FAMILY MARKET,64 BROADWAY,ARLINGTON,"$1,229,428.75"
SYMMES MINI MART,681 MASSACHUSETTS AVENUE,ARLINGTON,"$1,312,959.75"
LITTLE JOES CONV. STORE,206 SUMMER ST,ARLINGTON,"$1,361,384.50"
GALAXY MARKET,1348 MASS AVE,ARLINGTON,"$1,417,183.00"
MASS CONVENIENCE,245 MASS AVE,ARLINGTON,"$1,934,606.50"
MASS CONVENIENCE,86 WARREN ST,ARLINGTON,"$1,960,894.00"
EASY CONVENIENCE,935 MASS AVE,ARLINGTON,"$2,172,310.50"
PETER PAN SUPERETTE,2 PARK AVE,ARLINGTON,"$2,198,152.75"
